id,window_id,asset,placed,seconds_to_close,bid,distance,reason,pre_data,timestamp
160,fifteen_min_KXBTC15M-26MAR081900,btc,0,58.0,0,180.030001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66235.2, ""spot_coinbase"": 66230.57, ""distance_kraken"": 184.66000099999656, ""distance_coinbase"": 180.03000100000645}",1773010743.88522
161,fifteen_min_KXETH15M-26MAR081900,eth,0,57.0,0,3.71499999999992,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1942.6, ""spot_coinbase"": 1942.235, ""distance_kraken"": 4.079999999999927, ""distance_coinbase"": 3.714999999999918}",1773010744.72804
162,fifteen_min_KXSOL15M-26MAR081900,sol,0,56.0,1,0.0888000000000062,low_distance,"{""quote"": {""yes_bid"": 98, ""yes_ask"": 99, ""no_bid"": 1, ""no_ask"": 2}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.935, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.08880000000000621}",1773010745.92863
163,fifteen_min_KXXRP15M-26MAR081900,xrp,0,55.0,0,0.00195999999999996,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34526, ""spot_coinbase"": 1.34535, ""distance_kraken"": 0.0019599999999999618, ""distance_coinbase"": 0.0020500000000001073}",1773010746.89574
164,fifteen_min_KXBTC15M-26MAR081900,btc,0,53.0,0,180.030001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66235.2, ""spot_coinbase"": 66230.57, ""distance_kraken"": 184.66000099999656, ""distance_coinbase"": 180.03000100000645}",1773010748.67069
165,fifteen_min_KXETH15M-26MAR081900,eth,0,52.0,0,3.71499999999992,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1942.6, ""spot_coinbase"": 1942.235, ""distance_kraken"": 4.079999999999927, ""distance_coinbase"": 3.714999999999918}",1773010749.67145
166,fifteen_min_KXSOL15M-26MAR081900,sol,0,51.0,1,0.103800000000007,low_distance,"{""quote"": {""yes_bid"": 98, ""yes_ask"": 99, ""no_bid"": 1, ""no_ask"": 2}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.955, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.10880000000000223}",1773010750.56351
167,fifteen_min_KXXRP15M-26MAR081900,xrp,0,50.0,0,0.00165000000000015,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34513, ""spot_coinbase"": 1.34495, ""distance_kraken"": 0.0018299999999999983, ""distance_coinbase"": 0.0016500000000001513}",1773010751.50766
168,fifteen_min_KXBTC15M-26MAR081900,btc,0,48.0,0,173.655001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66235.2, ""spot_coinbase"": 66224.195, ""distance_kraken"": 184.66000099999656, ""distance_coinbase"": 173.65500100000645}",1773010753.57264
169,fifteen_min_KXETH15M-26MAR081900,eth,0,47.0,0,4.07999999999993,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1942.6, ""spot_coinbase"": 1942.63, ""distance_kraken"": 4.079999999999927, ""distance_coinbase"": 4.110000000000127}",1773010754.38391
