order_id,window_id,asset,ts_utc,ticker,side,spot,strike,resolution_price,seconds_to_close,distance,min_distance_threshold,bid,limit_or_market,price_cents,placed,filled,fill_price,final_outcome,pnl_cents,is_stop_loss,stop_loss_sell_price,skip_reason,skip_details,is_filled
cf77bbe3-cc39-47d3-82ee-07c1c0ded2f8,KXSOL15M-26MAR022100,sol,2026-03-03T01:59:00.997348+00:00,KXSOL15M-26MAR022100-00,no,86.31,86.6993,,59.739797,0.38929999999999154,0.1,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 2 | Bids: [99, 99] | Distances: [0.38929999999999154, 0.38929999999999154] | Primary blocker: waiting_for_dip",0
16b240b6-a93b-497a-99d1-ab732bab1edb,KXBTC15M-26MAR022100,btc,2026-03-03T01:59:01.007907+00:00,KXBTC15M-26MAR022100-00,no,68792.9,69029.21,,59.740915,236.31000000001222,35.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 2 | Bids: [99, 99] | Distances: [233.2100000000064, 236.31000000001222] | Primary blocker: waiting_for_dip",0
30f9d29f-c329-467c-9cf2-7a66a59b2883,KXSOL15M-26MAR022115,sol,2026-03-03T02:14:00.983314+00:00,KXSOL15M-26MAR022115-15,no,85.61,86.2517,,59.719446,0.6417000000000002,0.1,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.6417000000000002, 0.6417000000000002, 0.6417000000000002] | Primary blocker: waiting_for_dip",0
89f745e5-9a18-4df3-82b2-74b5dfe43e7b,KXBTC15M-26MAR022115,btc,2026-03-03T02:14:01.014716+00:00,KXBTC15M-26MAR022115-15,no,68665.2,68777.03,,59.720357,111.83000000000175,35.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [111.83000000000175, 111.83000000000175, 111.83000000000175] | Primary blocker: waiting_for_dip",0
b51f7a1a-2df5-4279-b780-31c96b2f592e,KXETH15M-26MAR022115,eth,2026-03-03T02:14:01.528429+00:00,KXETH15M-26MAR022115-15,no,2010.88,2021.39,,59.719833,10.509999999999991,2.5,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [10.509999999999991, 10.509999999999991, 10.509999999999991] | Primary blocker: waiting_for_dip",0
e5859eff-5a2f-4012-be7b-7215d6330af5,KXXRP15M-26MAR022115,xrp,2026-03-03T02:14:37.036827+00:00,KXXRP15M-26MAR022115-15,no,1.38344,1.3842,,23.70799,0.0007600000000000939,0.0006000000000000001,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 18 | Bids: [92, 94, 95, 95, 99, 99, 99, 94, 94, 95, 97, 97, 97, 99, 99, 99, 99, 99] | Distances: [0.0015000000000000568, 0.0015000000000000568, 0.0015000000000000568, 0.0015000000000000568, 0.0015000000000000568, 0.0019000000000000128, 0.0019000000000000128, 0.0019000000000000128, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939, 0.0007600000000000939] | Primary blocker: distance_buffer",0
2b4d934e-179e-448a-87f7-aa6e17e5371c,KXSOL15M-26MAR022130,sol,2026-03-03T02:29:02.590474+00:00,KXSOL15M-26MAR022130-30,yes,85.85,85.6133,,58.119066,0.23669999999999902,0.1,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.2867000000000104, 0.2867000000000104, 0.23669999999999902] | Primary blocker: waiting_for_dip",0
c7cde24d-efd7-44d4-a175-71b8c1620b66,KXBTC15M-26MAR022130,btc,2026-03-03T02:29:02.627143+00:00,KXBTC15M-26MAR022130-30,no,68438.4,68634.58,,58.120025,196.18000000000757,35.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [196.18000000000757, 196.18000000000757, 196.18000000000757] | Primary blocker: waiting_for_dip",0
0d089e78-cd31-4e45-ab54-36b0ac4b9c89,KXXRP15M-26MAR022130,xrp,2026-03-03T02:29:02.733862+00:00,KXXRP15M-26MAR022130-30,no,1.37998,1.3832,,58.118754,0.0032200000000000006,0.003,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.0030600000000000627, 0.0032200000000000006, 0.0032200000000000006] | Primary blocker: waiting_for_dip",0
5833a5fb-0035-440a-9e35-3b8d3790bad4,KXETH15M-26MAR022130,eth,2026-03-03T02:29:27.692196+00:00,KXETH15M-26MAR022130-30,yes,2012.48,2011.2,,34.526244,1.2799999999999727,1.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 13 | Bids: [90, 89, 79, 79, 90, 91, 93, 93, 98, 96, 95, 96, 99] | Distances: [1.8199999999999363, 1.8199999999999363, 1.2000000000000455, 1.2000000000000455, 1.2000000000000455, 1.2000000000000455, 1.2000000000000455, 1.4400000000000546, 1.4400000000000546, 1.4400000000000546, 1.4400000000000546, 1.4400000000000546, 1.2799999999999727] | Primary blocker: distance_buffer",0
